2010-10-26 14:17:08 Notice: Notice (8): Undefined variable: school in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 44]
2010-10-26 14:17:08 Notice: Notice (8): Undefined variable: school in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 46]
2010-10-26 14:17:08 Notice: Notice (8): Undefined variable: school in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 50]
2010-10-26 14:17:44 Notice: Notice (8): Undefined variable: school in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 42]
2010-10-26 14:17:44 Notice: Notice (8): Undefined variable: school in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 43]
2010-10-26 14:17:44 Notice: Notice (8): Undefined variable: school in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 44]
2010-10-26 14:17:44 Notice: Notice (8): Undefined variable: school in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 46]
2010-10-26 14:17:44 Notice: Notice (8): Undefined variable: school in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 50]
2010-10-26 14:47:40 Notice: Notice (8): Undefined property: School::$Network in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 61]
2010-10-26 14:49:58 Notice: Notice (8): Undefined index: programs in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 61]
2010-10-26 14:51:11 Notice: Notice (8): Undefined index: programs in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 64]
2010-10-26 15:23:45 Notice: Notice (8): Undefined index: name in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 71]
2010-10-26 15:23:45 Notice: Notice (8): Undefined index: degree_level in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 72]
2010-10-26 15:23:45 Notice: Notice (8): Undefined property: Network::$Networks in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 76]
2010-10-26 15:23:45 Notice: Notice (8): Undefined index: degree_level in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 79]
2010-10-26 15:24:30 Notice: Notice (8): Undefined index: name in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 72]
2010-10-26 15:24:30 Notice: Notice (8): Undefined index: degree_level in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 73]
2010-10-26 15:24:30 Notice: Notice (8): Undefined property: Network::$Networks in [/Applications/MAMP/htdocs/onlineschool/app/controllers/parser_controller.php, line 77]
